Player,Club,POS,GP,GS,MINS,Year,Season
Paul Dalglish,,F,4,4,307,2006,post
Nicolas Hernandez,,F,3,3,300,2006,post
Brian Mullan,,D,4,4,376,2006,post
Brad Davis,,M,4,4,390,2006,post
Justin Mapp,,M,2,2,188,2006,post
Pat Noonan,,F,3,2,285,2006,post
Jovan Kirovski,,M-F,3,2,229,2006,post
Ante Razov,,F,1,1,90,2006,post
Abe Thompson,,F,2,2,120,2006,post
Clarence Goodson,,D,2,0,78,2006,post
Jozy Altidore,,F,2,2,180,2006,post
Terry Cooke,,M,1,1,90,2006,post
Juan Francisco Palencia,,F,2,2,139,2006,post
Nate Jaqua,,F,2,2,210,2006,post
Clint Mathis,,M,3,2,236,2006,post
Greg Vanney,,D,2,2,210,2006,post
Ronnie O'Brien,,M,2,2,210,2006,post
Kyle Beckerman,,M,3,3,300,2006,post
Dwayne De Rosario,,M,4,4,390,2006,post
Ricardo Clark,,M,3,3,270,2006,post
Chris Gbandi,,D,2,2,119,2006,post
Craig Waibel,,D,4,4,345,2006,post
Sacha Kljestan,,M,2,1,112,2006,post
Alejandro Moreno,,F,4,0,83,2006,post
Jaime Moreno,,F,3,3,270,2006,post
Joshua Gros,,M-D,3,3,270,2006,post
Khano Smith,,M,4,0,169,2006,post
Eddie Robinson,,D,4,4,390,2006,post
Joe Franchino,,M,4,4,316,2006,post
Jay Heaps,,D,4,4,420,2006,post
Amado Guevara,,M,2,2,180,2006,post
Andy Dorman,,M,4,4,362,2006,post
Arsene Oka,,M,0,0,0,2006,post
Hunter Freeman,,D,0,0,0,2006,post
Carlos Mendes,,D,2,2,169,2006,post
Avery John,,D,4,4,420,2006,post
Jeff Carroll,,M-D,1,0,1,2006,post
Michael Parkhurst,,D,4,4,420,2006,post
Devon McTavish,,D,0,0,0,2006,post
Stephen deRoux,,M-D,0,0,0,2006,post
Jamil Walker,,M-F,0,0,0,2006,post
Bobby Boswell,,D,3,3,270,2006,post
Willie Sims,,F,0,0,0,2006,post
John Wilson,,D,0,0,0,2006,post
Danny O'Rourke,,D,0,0,0,2006,post
Justin Moose,,M,0,0,0,2006,post
Ramon Ramirez,,M,0,0,0,2006,post
Claudio Suarez,,D,2,2,180,2006,post
Roberto Mina,,F,0,0,0,2006,post
Tony Lochhead,,D,0,0,0,2006,post
Robert Ssejjemba,,F,0,0,0,2006,post
Ryan Johnson,,F,0,0,0,2006,post
Logan Pause,,M,0,0,0,2006,post
Chad Barrett,,F,0,0,0,2006,post
Brian Plotkin,,M,0,0,0,2006,post
Jeff Curtin,,D,0,0,0,2006,post
Jordan Russolillo,,D,0,0,0,2006,post
Floyd Franks,,M,0,0,0,2006,post
Tim Regan,,D,2,2,180,2006,post
Ramon Nunez,,M,0,0,0,2006,post
Arturo Alvarez,,M,0,0,0,2006,post
Dax McCarty,,M,0,0,0,2006,post
Aaron Pitchkolan,,D,0,0,0,2006,post
Alex Yi,,D,0,0,0,2006,post
Michael Dello-Russo,,D-M,0,0,0,2006,post
Blake Wagner,,D-M,0,0,0,2006,post
Dominic Oduro,,M,0,0,0,2006,post
Kevin Goldthwaite,,D,0,0,0,2006,post
Patrick Ianni,,D-M,0,0,0,2006,post
Ryan Cochrane,,D,3,1,147,2006,post
Chris Wondolowski,,F,0,0,0,2006,post
Julian Nash,,F,0,0,0,2006,post
Colin Clark,,M,1,0,8,2006,post
Daniel Wasson,,D,1,1,90,2006,post
Marcelo Saragosa,,M,2,0,57,2006,post
Jordan Harvey,,D,0,0,0,2006,post
Dan Gargan,,D,2,1,135,2006,post
Stephen Keel,,D,0,0,0,2006,post
Jacob Peterson,,F,3,2,161,2006,post
Mike Magee,,M,1,0,3,2006,post
Blake Camp,,M,0,0,0,2006,post
Joe Vide,,M,0,0,0,2006,post
Taylor Graham,,D,2,0,2,2006,post
Elie Ikangu,,M,0,0,0,2006,post
Jerrod Laventure,,F,0,0,0,2006,post
Chris Henderson,,M,2,0,49,2006,post
Orlando Perez,,D,0,0,0,2006,post
Diego Gutierrez,,D,2,0,86,2006,post
Brandon Prideaux,,D,1,0,12,2006,post
Eric Denton,,D,0,0,0,2006,post
Luchi Gonzalez,,F,0,0,0,2006,post
C.J. Brown,,D,2,2,210,2006,post
Craig Capano,,M,0,0,0,2006,post
Jim Curtin,,D,0,0,0,2006,post
Kelly Gray,,D-M,1,0,18,2006,post
Shalrie Joseph,,M,3,3,300,2006,post
Marshall Leonard,,M,0,0,0,2006,post
Richard Mulrooney,,M,2,2,210,2006,post
Clyde Simms,,M,3,0,15,2006,post
Stuart Holden,,M,2,0,20,2006,post
Edson Buddle,,F,0,0,0,2006,post
Mark Lisi,,M,0,0,0,2006,post
Carlos Llamosa,,D,0,0,0,2006,post
Mike Petke,,D,2,2,194,2006,post
John Thorrington,,M,0,0,0,2006,post
Pascal Bedrossian,,F,0,0,0,2006,post
Simo Valakari,,M,2,2,210,2006,post
Peter Canero,,M,0,0,0,2006,post
John O'Brien,,M,0,0,0,2006,post
Rodrigo López,,M,0,0,0,2006,post
Matt Taylor,,F,0,0,0,2006,post
Jason Hernandez,,D,2,2,180,2006,post
Lawson Vaughn,,D,2,2,180,2006,post
Eder Robles,,D,0,0,0,2006,post
Carlos Borja,,D,0,0,0,2006,post
Domenic Mediate,,M,0,0,0,2006,post
Mike Chabala,,D,0,0,0,2006,post
Mpho Moloi,,M,0,0,0,2006,post
Mike Munoz,,M,0,0,0,2006,post
David Arvizu,,F,0,0,0,2006,post
Kyle Brown,,F,0,0,0,2006,post
Leonard Griffin,,D,0,0,0,2006,post
Johnny Garcia,,D,0,0,0,2006,post
Chris Aloisi,,D,0,0,0,2006,post
Esteban Arias,,D,0,0,0,2006,post
Jordan Cila,,F-M,0,0,0,2006,post
Rene Corona,,M,0,0,0,2006,post
Jani Galik,,M,0,0,0,2006,post
Sasha Gotsmanov,,F,0,0,0,2006,post
Pat Haggerty,,D,0,0,0,2006,post
Drew Helm,,F,0,0,0,2006,post
Steve Jolley,,D,0,0,0,2006,post
Aaron King,,F,0,0,0,2006,post
Shawn Kuykendall,,M,0,0,0,2006,post
Aaron Lanes,,M,0,0,0,2006,post
Andy Metcalf,,M,0,0,0,2006,post
Jared Montz,,D,0,0,0,2006,post
Justin Moore,,M,0,0,0,2006,post
Matt Nickell,,F,0,0,0,2006,post
Fabrice Noel,,F,1,0,38,2006,post
Adam Ruud,,M,0,0,0,2006,post
Estuardo Sanchez,,F,0,0,0,2006,post
Alex Smith,,F,0,0,0,2006,post
David Stokes,,D,0,0,0,2006,post
Marcus Storey,,M-F,0,0,0,2006,post
Melvin Tarley,,F,0,0,0,2006,post
Idris Ughiovhe,,D,0,0,0,2006,post
Brent Whitfield,,M,0,0,0,2006,post
Adam Williamson,,M,0,0,0,2006,post
Danny Wynn,,M-D,0,0,0,2006,post
Miguel Gonzalez,,M,0,0,0,2006,post
Jose Manuel Abundis,,F,2,1,53,2006,post
Alain Nkong,,M,2,1,128,2006,post
Matt Crawford,,M,3,3,164,2006,post
Juan Pablo Garcia,,M,2,2,158,2006,post
Jesus Morales,,F,1,0,9,2006,post
Francisco Mendoza,,M,2,2,180,2006,post
Jonathan Bornstein,,D,2,2,180,2006,post
Tony Sanneh,,D,2,2,210,2006,post
Matias Donnet,,M,2,0,34,2006,post
Ivan Guerrero,,M,2,2,210,2006,post
Bryan Namoff,,D,3,3,270,2006,post
Adrian Serioux,,D,4,4,383,2006,post
Wade Barrett,,D,4,4,390,2006,post
Jesse Marsch,,M,2,2,180,2006,post
Bobby Rhine,,M,2,2,131,2006,post
Todd Dunivant,,D,2,2,180,2006,post
Dasan Robinson,,D,2,2,210,2006,post
Gonzalo Segares,,D,2,2,135,2006,post
Calen Carr,,F,2,0,26,2006,post
Rod Dyachenko,,M,2,0,33,2006,post
Jeff Larentowicz,,M,4,2,176,2006,post
James Riley,,D,1,1,90,2006,post
Marvell Wynne,,D,2,2,179,2006,post
Thiago,,M,1,0,56,2006,post
Andy Herron,,F,2,2,198,2006,post
John Wolyniec,,F,2,1,98,2006,post
Chris Wingert,,D,3,2,272,2006,post
Drew Moor,,D,2,2,210,2006,post
David Wagenfuhr,,D,2,0,98,2006,post
Jeff Parke,,D,2,2,180,2006,post
Chris Armas,,M,2,2,210,2006,post
Brian Carroll,,M,3,3,270,2006,post
Dema Kovalenko,,M,2,2,179,2006,post
Aitor Karanka,,D,3,3,238,2006,post
Daniel Hernandez,,M,4,3,297,2006,post
Facundo Erpen,,D,3,3,270,2006,post
Markus Schopp,,D-M,2,2,131,2006,post
Pablo Mastroeni,,M,3,3,300,2006,post
Kenny Cooper,,F,2,2,145,2006,post
Steve Ralston,,M,3,3,295,2006,post
Jose Cancela,,M,1,0,35,2006,post
Seth Stammler,,M-D,2,2,180,2006,post
Freddy Adu,,F,3,3,224,2006,post
Youri Djorkaeff,,F-M,1,1,90,2006,post
Clint Dempsey,,M-F,2,1,140,2006,post
Thiago Martins,,F,2,1,115,2006,post
Chris Rolfe,,F,2,2,149,2006,post
Ben Olsen,,M,3,3,269,2006,post
Alecko Eskandarian,,F,3,3,231,2006,post
Taylor Twellman,,F,4,4,360,2007,post
Dwayne De Rosario,,M,4,4,385,2007,post
Brian Ching,,F,3,3,280,2007,post
Chris Rolfe,,F,3,3,270,2007,post
Joseph Ngwenya,,F,4,2,229,2007,post
Christian Gomez,,M,2,2,180,2007,post
Brad Davis,,M,4,3,327,2007,post
Carlos Ruiz,,F,2,2,185,2007,post
Clyde Simms,,M,2,2,180,2007,post
Clarence Goodson,,D,1,1,90,2007,post
Stuart Holden,,M,4,1,150,2007,post
Davy Arnaud,,M,3,3,270,2007,post
Nate Jaqua,,F,4,3,261,2007,post
Chad Barrett,,F,3,3,198,2007,post
Rod Dyachenko,,M,1,0,49,2007,post
Shalrie Joseph,,M,4,4,360,2007,post
Steve Ralston,,M,4,4,348,2007,post
Craig Waibel,,D,4,4,318,2007,post
Calen Carr,,F,3,1,107,2007,post
Bobby Rhine,,M,2,2,210,2007,post
Kenny Cooper,,F,2,2,203,2007,post
Richard Mulrooney,,M,4,4,390,2007,post
Wells Thompson,,D,4,4,345,2007,post
Ryan Cochrane,,D,4,4,390,2007,post
Cuauhtemoc Blanco,,M,3,3,263,2007,post
Markus Schopp,,D-M,0,0,0,2007,post
Claudio Reyna,,M,2,2,112,2007,post
Carlos Marinelli,,M,1,0,44,2007,post
Ivan Guerrero,,M,0,0,0,2007,post
Santino Quaranta,,M-F,0,0,0,2007,post
Justin Mapp,,M,1,0,13,2007,post
Paul Dalglish,,F,0,0,0,2007,post
John Thorrington,,M,1,0,5,2007,post
Denilson,,M,1,1,50,2007,post
Carlos Llamosa,,D,0,0,0,2007,post
Jim Curtin,,D,0,0,0,2007,post
Orlando Perez,,D,0,0,0,2007,post
Joe Franchino,,M,0,0,0,2007,post
Nick Garcia,,D,3,3,270,2007,post
Ante Razov,,F,0,0,0,2007,post
Bryan Namoff,,D,2,2,180,2007,post
Chris Leitch,,D,1,0,12,2007,post
Chris Armas,,M,3,3,270,2007,post
Greg Vanney,,D,2,2,180,2007,post
Jose Burciaga Jr.,,D,1,0,8,2007,post
Diego Gutierrez,,D,3,1,147,2007,post
Kerry Zavagnin,,M,3,3,225,2007,post
Marshall Leonard,,M,0,0,0,2007,post
Brian Plotkin,,M,0,0,0,2007,post
Jeff Curtin,,D,0,0,0,2007,post
Osei Telesford,,D,0,0,0,2007,post
Claudio Suarez,,D,2,2,180,2007,post
Roberto Mina,,F,0,0,0,2007,post
Ricardo Clark,,M,0,0,0,2007,post
Chris Loftus,,F,0,0,0,2007,post
Will John,,M-F,0,0,0,2007,post
Michael Parkhurst,,D,4,4,360,2007,post
James Riley,,D,3,0,15,2007,post
Gary Flood,,M,0,0,0,2007,post
Miguel Gonzalez,,M,0,0,0,2007,post
Carlos Mendes,,D,0,0,0,2007,post
Mike Magee,,M,0,0,0,2007,post
Sinisa Ubiparipovic,,F-M,2,0,35,2007,post
Blake Camp,,M,0,0,0,2007,post
Joe Vide,,M,1,1,77,2007,post
Justin Moose,,M,0,0,0,2007,post
Jeff Parke,,D,2,2,180,2007,post
Sal Caccavale,,M,0,0,0,2007,post
Elie Ikangu,,M,0,0,0,2007,post
Jerrod Laventure,,F,0,0,0,2007,post
Randi Patterson,,F,0,0,0,2007,post
Abdus Ibrahim,,F,0,0,0,2007,post
Andrew Daniels,,D,0,0,0,2007,post
Juan Toja,,M,2,2,210,2007,post
Marcelo Saragosa,,M,0,0,0,2007,post
Abe Thompson,,F,1,0,7,2007,post
Dax McCarty,,M,1,0,14,2007,post
Drew Moor,,D,2,2,209,2007,post
David Wagenfuhr,,D,0,0,0,2007,post
Aaron Pitchkolan,,D,0,0,0,2007,post
Alex Yi,,D,1,1,120,2007,post
Michael Dello-Russo,,D-M,0,0,0,2007,post
Blake Wagner,,D-M,0,0,0,2007,post
Jordan Russolillo,,D,0,0,0,2007,post
Dasan Robinson,,D,3,3,225,2007,post
Mike Banner,,M,0,0,0,2007,post
Jerson Monteiro,,F,0,0,0,2007,post
Daniel Woolard,,D,0,0,0,2007,post
Jeff Carroll,,M-D,0,0,0,2007,post
Joshua Gros,,M-D,0,0,0,2007,post
Marc Burch,,D,2,2,131,2007,post
Bryan Arguez,,M,0,0,0,2007,post
Brad North,,F,0,0,0,2007,post
Michael Harrington,,D,3,3,270,2007,post
Ryan McMahen,,M,0,0,0,2007,post
Guy-Roland Kpene,,F,1,1,45,2007,post
Stephen deRoux,,M-D,0,0,0,2007,post
Jamil Walker,,M-F,0,0,0,2007,post
Kiki Willis,,M,0,0,0,2007,post
Aaron Hohlbein,,D,0,0,0,2007,post
A.J. Godbolt,,M,0,0,0,2007,post
Tyson Wahl,,D,0,0,0,2007,post
Lance Watson,,D,1,0,1,2007,post
Edson Elcock,,M-F,0,0,0,2007,post
Ryan Raybould,,D-M,1,0,1,2007,post
Michael Kraus,,M-F,0,0,0,2007,post
Willy Guadarrama,,F,0,0,0,2007,post
Amaechi Igwe,,D,0,0,0,2007,post
Willie Sims,,F,0,0,0,2007,post
Chris Wondolowski,,F,0,0,0,2007,post
Anthony Wallace,,D,0,0,0,2007,post
Scott Jones,,M,0,0,0,2007,post
Eric Ebert,,D,0,0,0,2007,post
Kevin Goldthwaite,,D,0,0,0,2007,post
Patrick Ianni,,D-M,0,0,0,2007,post
Mike Chabala,,D,0,0,0,2007,post
John Michael Hayden,,M,0,0,0,2007,post
Mpho Moloi,,M,0,0,0,2007,post
Corey Ashe,,M,0,0,0,2007,post
Erik Ustruck,,F,0,0,0,2007,post
Nick Hatzke,,M,0,0,0,2007,post
Bobby Burling,,D,0,0,0,2007,post
Erasmo Solorzano,,M,0,0,0,2007,post
Desmond Brooks,,D,0,0,0,2007,post
Rodrigo López,,M,0,0,0,2007,post
Jason Hernandez,,D,1,1,90,2007,post
Lawson Vaughn,,D,1,1,90,2007,post
Eder Robles,,D,0,0,0,2007,post
Bryan Byrne,,M,0,0,0,2007,post
Mira Mupier,,F,0,0,0,2007,post
Kyle Helton,,D,0,0,0,2007,post
Domenic Mediate,,M,0,0,0,2007,post
Bruno Menezes,,M,0,0,0,2007,post
Jorge Villafaña,,F,0,0,0,2007,post
Ricardinho,,F,0,0,0,2007,post
Eloy Colombano,,M-F,1,0,24,2007,post
Sainey Nyassi,,M,0,0,0,2007,post
Chase Wileman,,M,0,0,0,2007,post
Stephen Wondolowski,,D,0,0,0,2007,post
Amir Lowery,,M,0,0,0,2007,post
Abdoulie Mansally,,D,0,0,0,2007,post
Sebastian Botero,,M,0,0,0,2007,post
Sandy Gbandi,,M,0,0,0,2007,post
Kenneth Hoerner,,M-F,0,0,0,2007,post
Chris Karcz,,M-F,0,0,0,2007,post
Jonathan Bornstein,,D,2,2,180,2007,post
David Arvizu,,F,0,0,0,2007,post
Anthony Hamilton,,F,1,0,9,2007,post
Laurent Merlin,,F,1,1,70,2007,post
Alex Zotinca,,D,1,1,57,2007,post
Ryan Pore,,M,3,0,56,2007,post
Bobby Boswell,,D,1,1,59,2007,post
Fred,,M,2,2,180,2007,post
Devon McTavish,,D,2,1,121,2007,post
Floyd Franks,,M,1,0,2,2007,post
Logan Pause,,M,3,3,268,2007,post
Dominic Oduro,,M,2,0,65,2007,post
Dane Richards,,M,2,2,180,2007,post
Bakary Soumare,,D,1,0,32,2007,post
Avery John,,D,4,4,360,2007,post
Adrian Serioux,,D,2,2,170,2007,post
Brian Carroll,,M,1,1,78,2007,post
Wade Barrett,,D,4,4,390,2007,post
Jimmy Conrad,,D,3,3,270,2007,post
Jaime Moreno,,F,2,1,135,2007,post
C.J. Brown,,D,3,3,270,2007,post
Jay Heaps,,D,4,4,360,2007,post
Chris Gbandi,,D,2,2,210,2007,post
Dema Kovalenko,,M,2,2,180,2007,post
Dave van den Bergh,,M,2,2,168,2007,post
Pablo Ricchetti,,D-M,2,1,146,2007,post
Ben Olsen,,M,2,2,180,2007,post
Eddie Robinson,,D,4,4,390,2007,post
Luciano Emilio,,F,2,1,77,2007,post
Sasha Victorine,,M,3,3,223,2007,post
Khano Smith,,M,4,4,360,2007,post
Gonzalo Segares,,D,3,3,270,2007,post
Scott Sealy,,F,3,3,262,2007,post
Jozy Altidore,,F,2,2,180,2007,post
Seth Stammler,,M-D,2,2,180,2007,post
Andy Dorman,,M,1,0,12,2007,post
Jack Jewsbury,,M,3,3,254,2007,post
Hunter Freeman,,D,2,2,180,2007,post
Paulo Nagamura,,M,2,2,180,2007,post
Shavar Thomas,,D,2,2,180,2007,post
Arturo Alvarez,,M,2,2,137,2007,post
Nicholas Addlery,,F,1,0,25,2007,post
Sacha Kljestan,,M,2,2,180,2007,post
John Cunliffe,,F,2,0,49,2007,post
Francisco Mendoza,,M,2,2,171,2007,post
Wilman Conde,,D,3,3,270,2007,post
Ramon Nunez,,M,2,1,94,2007,post
Kurt Morsink,,M,3,3,252,2007,post
Adam Cristman,,F,3,0,22,2007,post
Francis Doe,,F,1,1,68,2007,post
Clint Mathis,,M,2,0,68,2007,post
Jesse Marsch,,M,2,2,180,2007,post
Maykel Galindo,,F,1,1,90,2007,post
Jeff Larentowicz,,M,4,4,360,2007,post
John Wolyniec,,F,1,0,26,2007,post
Brian Mullan,,D,4,4,390,2007,post
Eddie Johnson,,F,3,3,270,2007,post
Paulo Wanchope,,F,1,1,90,2007,post
Juan Pablo Angel,,F,2,2,154,2007,post
Pat Noonan,,F,4,4,338,2007,post
John Wolyniec,,F,4,4,352,2008,post
Chad Marshall,,D,4,4,359,2008,post
Juan Pablo Angel,,F,4,4,360,2008,post
Alejandro Moreno,,F,4,4,360,2008,post
Dane Richards,,M,4,4,354,2008,post
Javier Morales,,M,3,3,267,2008,post
Eddie Gaven,,M,4,4,350,2008,post
Chris Rolfe,,F,3,3,259,2008,post
Kei Kamara,,F,2,1,78,2008,post
Wilman Conde,,D,3,3,270,2008,post
Justin Braun,,F,2,1,120,2008,post
Steven Lenhart,,F,2,0,8,2008,post
Davy Arnaud,,M,2,2,180,2008,post
Dema Kovalenko,,M,2,2,149,2008,post
Dave van den Bergh,,M,4,4,357,2008,post
Gonzalo Segares,,D,3,3,259,2008,post
Sacha Kljestan,,M,2,2,180,2008,post
Brad Evans,,D-M,4,4,360,2008,post
Brian McBride,,F,3,3,270,2008,post
Frankie Hejduk,,D,4,4,360,2008,post
Robbie Rogers,,D,4,4,358,2008,post
Yura Movsisyan,,F,3,3,259,2008,post
Guillermo Barros Schelotto,,F,4,4,345,2008,post
Robbie Russell,,D,3,2,207,2008,post
Justin Mapp,,M,3,3,257,2008,post
Brian Carroll,,M,4,4,360,2008,post
Francisco Mendoza,,M,2,2,180,2008,post
Claudio Lopez,,F,2,2,179,2008,post
Stuart Holden,,M,2,0,42,2008,post
Robbie Findley,,F,3,0,72,2008,post
Sinisa Ubiparipovic,,F-M,4,4,280,2008,post
Nelson Pizarro,,M,0,0,0,2008,post
Michael Palacio,,M-F,0,0,0,2008,post
Kraig Chiles,,M,0,0,0,2008,post
Brandon Tyler,,M,0,0,0,2008,post
Emmanuel Ekpo,,M,3,0,16,2008,post
Gerson Mayen,,M,0,0,0,2008,post
Cory Elenio,,M,0,0,0,2008,post
Chris Tierney,,D-M,1,1,90,2008,post
Brandon Manzonelli,,M,0,0,0,2008,post
Lider Marmol,,D,0,0,0,2008,post
Ricardo Pierre-Louis,,F,0,0,0,2008,post
Roberto Nurse,,F,1,0,4,2008,post
Diego Jimenez,,D,4,4,360,2008,post
Joe Germanese,,M,0,0,0,2008,post
Dejair,,M,1,0,11,2008,post
Matthew Mbuta,,M,0,0,0,2008,post
Macoumba Kandji,,F,2,0,14,2008,post
David Roth,,M,0,0,0,2008,post
Gordon Kljestan,,M,0,0,0,2008,post
Stanley Nyazamba,,M,0,0,0,2008,post
Sainey Touray,,F,0,0,0,2008,post
Pat Phelan,,M-D,1,0,51,2008,post
Geoff Cameron,,D,1,0,7,2008,post
Stephen Wondolowski,,D,0,0,0,2008,post
Johnny Alcaraz,,M,0,0,0,2008,post
Chance Myers,,D,0,0,0,2008,post
Rauwshan McKenzie,,D,0,0,0,2008,post
Roger Espinoza,,M,2,1,78,2008,post
Matt Marquess,,D,1,0,13,2008,post
Jonathan Leathers,,D,2,2,180,2008,post
Keith Savage,,M,0,0,0,2008,post
Daniel Paladini,,M,0,0,0,2008,post
Andy Iro,,D,3,0,4,2008,post
George Josten,,F-M,0,0,0,2008,post
Peter Lowry,,M,0,0,0,2008,post
Stephen King,,M,1,0,5,2008,post
Austin Washington,,D,0,0,0,2008,post
Kai Kasiguran,,M,0,0,0,2008,post
Rob Valentino,,D,0,0,0,2008,post
Sam Brill,,D,0,0,0,2008,post
Tony Beltran,,D,0,0,0,2008,post
Alex Nimo,,F-M,0,0,0,2008,post
Brennan Tennelle,,M,0,0,0,2008,post
Kevin Reiman,,M,0,0,0,2008,post
Tino Nunez,,F,0,0,0,2008,post
David Horst,,D,0,0,0,2008,post
Ivan Trujillo,,F,1,0,1,2008,post
Oscar Echeverry,,F,0,0,0,2008,post
Nathan Sturgis,,M,0,0,0,2008,post
Bobby Burling,,D,1,0,22,2008,post
Kyle Brown,,F,0,0,0,2008,post
Kenny Cutler,,M,0,0,0,2008,post
Nikolas Besagno,,M,0,0,0,2008,post
Dustin Kirby,,D,0,0,0,2008,post
Erik Ustruck,,F,0,0,0,2008,post
Nick Hatzke,,M,0,0,0,2008,post
Shavar Thomas,,D,2,2,180,2008,post
Patrick Ianni,,D-M,0,0,0,2008,post
Chris Wondolowski,,F,0,0,0,2008,post
Craig Waibel,,D,0,0,0,2008,post
Mike Chabala,,D,0,0,0,2008,post
John Michael Hayden,,M,0,0,0,2008,post
Jonathan Bornstein,,D,2,2,180,2008,post
Eric Ebert,,D,0,0,0,2008,post
Lawson Vaughn,,D,0,0,0,2008,post
Anthony Hamilton,,F,0,0,0,2008,post
Ryan Junge,,D,0,0,0,2008,post
Andrew Peterson,,D,0,0,0,2008,post
Jorge Villafaña,,F,0,0,0,2008,post
Adam Moffat,,M,0,0,0,2008,post
Gabriel Cichero,,D,0,0,0,2008,post
Danleigh Borman,,D,0,0,0,2008,post
John Gilkerson,,D,0,0,0,2008,post
Tyson Wahl,,D,2,2,158,2008,post
Lance Watson,,D,0,0,0,2008,post
Ryan Pore,,M,0,0,0,2008,post
Michael Kraus,,M-F,1,0,31,2008,post
Amaechi Igwe,,D,1,1,73,2008,post
Adam Cristman,,F,0,0,0,2008,post
Jeff Parke,,D,0,0,0,2008,post
Michael Parkhurst,,D,2,2,180,2008,post
Gary Flood,,M,0,0,0,2008,post
Wells Thompson,,D,2,0,13,2008,post
Carlos Mendes,,D,3,2,183,2008,post
Seth Stammler,,M-D,0,0,0,2008,post
Mike Magee,,M,0,0,0,2008,post
Danny O'Rourke,,D,4,4,360,2008,post
Jason Garey,,F,0,0,0,2008,post
Aaron Hohlbein,,D,0,0,0,2008,post
Dasan Robinson,,D,0,0,0,2008,post
Mike Banner,,M,2,0,16,2008,post
Daniel Woolard,,D,1,0,13,2008,post
Jed Zayner,,D,0,0,0,2008,post
Kevin Burns,,M,0,0,0,2008,post
Guy-Roland Kpene,,F,0,0,0,2008,post
Bobby Boswell,,D,2,2,180,2008,post
Michael Harrington,,D,2,2,180,2008,post
Kurt Morsink,,M,0,0,0,2008,post
Kevin Souter,,M,2,2,179,2008,post
Tomasz Frankowski,,F,0,0,0,2008,post
Ezra Hendrickson,,D,1,0,1,2008,post
Sasha Victorine,,M,0,0,0,2008,post
Bakary Soumare,,D,3,3,270,2008,post
Calen Carr,,F,0,0,0,2008,post
Logan Pause,,M,3,3,270,2008,post
Brian Plotkin,,M,0,0,0,2008,post
Claudio Suarez,,D,0,0,0,2008,post
Andrew Boyens,,D,2,2,180,2008,post
Pat Noonan,,F,0,0,0,2008,post
Andy Herron,,F,0,0,0,2008,post
Khano Smith,,M,0,0,0,2008,post
Maykel Galindo,,F,0,0,0,2008,post
Atiba Harris,,D,1,1,86,2008,post
Raphael Wicky,,M,0,0,0,2008,post
Ian Joy,,D,1,1,63,2008,post
Stefani Miglioranzi,,M,0,0,0,2008,post
Carlos Marinelli,,M,0,0,0,2008,post
Taylor Twellman,,F,0,0,0,2008,post
Diego Gutierrez,,D,0,0,0,2008,post
Kerry Zavagnin,,M,0,0,0,2008,post
Steve Ralston,,M,0,0,0,2008,post
Josh Wolff,,F,2,0,43,2008,post
Carey Talley,,D,2,2,124,2008,post
Duncan Oughton,,D,0,0,0,2008,post
C.J. Brown,,D,0,0,0,2008,post
Jim Curtin,,D,1,1,45,2008,post
Brandon Prideaux,,D,3,3,250,2008,post
Chris Leitch,,D,4,4,360,2008,post
Chris Albright,,D,2,2,173,2008,post
Brad Davis,,M,2,2,157,2008,post
Andy Williams,,M,3,1,96,2008,post
Gino Padula,,D,4,4,359,2008,post
Jorge Rojas,,M,2,0,79,2008,post
Wade Barrett,,D,2,2,135,2008,post
Jimmy Conrad,,D,2,2,180,2008,post
Richard Mulrooney,,M,2,2,180,2008,post
Shalrie Joseph,,M,2,2,180,2008,post
Brian Mullan,,D,2,2,161,2008,post
Gabriel Badilla,,D,1,0,17,2008,post
Kenny Deuchar,,F,1,0,1,2008,post
Patrick Nyarko,,F-M,1,0,20,2008,post
Fabian Espindola,,F,2,0,9,2008,post
Alex Zotinca,,D,2,1,94,2008,post
Corey Ashe,,M,1,0,45,2008,post
Paulo Nagamura,,M,2,2,180,2008,post
Chris Wingert,,D,3,3,270,2008,post
Abe Thompson,,F,2,2,128,2008,post
Luke Sassano,,D,4,4,341,2008,post
Jámison Olave,,D,3,3,246,2008,post
Kheli Dube,,F,2,2,171,2008,post
Juan Pietravallo,,M,2,0,20,2008,post
Marco Pappa,,M,1,0,1,2008,post
Nate Jaqua,,F,2,1,102,2008,post
Kevin Goldthwaite,,D,4,4,360,2008,post
Jack Jewsbury,,M,2,2,180,2008,post
Alecko Eskandarian,,F,1,0,45,2008,post
Ricardo Clark,,M,2,2,180,2008,post
Jesse Marsch,,M,2,2,180,2008,post
Jay Heaps,,D,2,2,180,2008,post
Ante Razov,,F,2,2,169,2008,post
Eddie Robinson,,D,2,2,180,2008,post
Jeff Larentowicz,,M,2,2,129,2008,post
Hérculez Gómez,,F,1,1,75,2008,post
Abdoulie Mansally,,D,2,2,180,2008,post
Mauricio Castro,,M,2,2,176,2008,post
Nat Borchers,,D,3,3,270,2008,post
Brian Ching,,F,2,2,180,2008,post
Dwayne De Rosario,,M,2,2,173,2008,post
John Thorrington,,M,3,3,270,2008,post
Kyle Beckerman,,M,3,3,270,2008,post
Sainey Nyassi,,M,2,2,180,2008,post
Will Johnson,,D,3,3,270,2008,post
Cuauhtemoc Blanco,,M,3,3,270,2008,post
Clint Mathis,,M,3,3,251,2008,post
