Player,Club,POS,GP,GS,MINS,Year,Season
Mark Semioli,LA ,D,28,27,2475,1996,reg
Doctor Khumalo,CLB,M,25,23,1930,1996,reg
Shawn Medved,DC ,M,27,13,1171,1996,reg
Jeff Baicher,SJ ,M,30,28,2180,1996,reg
Alan Prampin,KC ,F,15,2,337,1996,reg
Robert Warzycha,CLB,M,20,20,1747,1996,reg
Billy Thompson,CLB,M,24,24,2074,1996,reg
Ben Iroha,SJ ,M,29,24,2194,1996,reg
Diego Sonora,DAL,M-D,31,31,2720,1996,reg
Ted Eck,DAL,M-F,26,16,1564,1996,reg
Roy Wegerle,COL,F,22,16,1458,1996,reg
Frank Klopas,KC ,F,22,16,1235,1996,reg
Guillermo Jara,LA ,M,21,6,811,1996,reg
Cle Kooiman,TB ,D,27,27,2394,1996,reg
Troy Dayak,SJ ,D,25,25,2232,1996,reg
Arash Noamouz,LA ,D,12,11,852,1996,reg
Goran Hunjak,TB ,M,21,15,1412,1996,reg
Imad Baba,NE ,M,11,8,736,1996,reg
Jose Vasquez,LA ,D,14,11,876,1996,reg
Richard Sharpe,COL,F,17,7,681,1996,reg
Scott Uderitz,KC ,D,28,24,2117,1996,reg
Jorge Salcedo,LA ,M,29,22,2060,1996,reg
Eddie Pope,DC ,D,18,18,1575,1996,reg
Robert Ukrop,NE ,F,9,8,634,1996,reg
Lawrence Lozzano,DAL,M,31,31,2688,1996,reg
Altimont Butler,SJ ,M,14,4,411,1996,reg
Uche Okafor,KC ,D,30,30,2593,1996,reg
Nicola Caricola,MET,D,26,26,2193,1996,reg
Steve Pittman,TB ,D,26,26,2252,1996,reg
Jeff Agoos,DC ,D,32,32,2805,1996,reg
Richie Williams,DC ,M,30,30,2570,1996,reg
Mario Gori,DC ,D,25,22,1925,1996,reg
Kris Kelderman,DC ,M,18,8,817,1996,reg
Peter Woodring,NE ,D,21,20,1622,1996,reg
Jorge Rodas,SJ ,M,29,17,1773,1996,reg
Ricardo Iribarren,CLB,D,16,15,1300,1996,reg
Todd Yeagley,CLB,M,22,14,1251,1996,reg
Frankie Hejduk,TB ,D,9,8,727,1996,reg
John Maessner,DC ,M-D,20,5,713,1996,reg
Mark Santel,DAL,M,30,28,2613,1996,reg
Ian Hennessey,MET,M,8,4,311,1996,reg
Ramiro Corrales,SJ ,M,11,5,461,1996,reg
Henry Gutierrez,SJ ,M,7,4,360,1996,reg
Chris Unger,MET,M,16,12,1029,1996,reg
Rhett Harty,MET,D,31,31,2662,1996,reg
Mike Burns,NE ,M,17,14,1294,1996,reg
Mike Clark,CLB,D,27,27,2329,1996,reg
Alexi Lalas,NE ,D,25,25,2218,1996,reg
Chris Armas,LA ,M,22,20,1702,1996,reg
Peter Vermes,MET,D,30,30,2700,1996,reg
Jesse Marsch,DC ,M,4,0,92,1996,reg
Yari Allnutt,KC ,F,1,0,45,1996,reg
Paul Holocher,SJ ,M,4,2,205,1996,reg
Mark Watson,CLB,D,18,18,1563,1996,reg
Richard Farrer,DAL,D,31,31,2758,1996,reg
Robin Fraser,LA ,D,27,27,2390,1996,reg
Matt Kmosko,COL,D,31,31,2788,1996,reg
Sean Henderson,COL,M,9,9,780,1996,reg
Zak Ibsen,DAL,M,22,18,1601,1996,reg
Ted Chronopoulos,NE ,D,14,11,1000,1996,reg
Brad Wilson,LA ,D,22,14,969,1996,reg
Tim Martin,SJ ,D,32,32,2871,1996,reg
John Garvey,LA ,F,13,3,517,1996,reg
Ante Razov,LA ,F,3,1,172,1996,reg
Dante Washington,CLB,F,9,2,317,1996,reg
Brian Bliss,CLB,D,19,19,1566,1996,reg
Chad Ashton,DAL,M,23,10,974,1996,reg
Diego Gutierrez,KC ,D,28,24,2068,1996,reg
John DeBrito,NE ,D,21,18,1537,1996,reg
Paul Wright,KC ,F,17,7,690,1996,reg
Sean Bowers,KC ,D,31,31,2769,1996,reg
Eddie Lewis,SJ ,M,25,13,1253,1996,reg
Evans Wise,TB ,M,23,17,1512,1996,reg
Ruben Hernandez,MET,M,10,9,836,1996,reg
Felipe Rodriguez,COL,M,10,5,472,1996,reg
Manny Lagos,MET,M,6,6,483,1996,reg
Eric Eichmann,KC ,F,15,4,481,1996,reg
Kevin Wylie,NE ,F,22,22,1839,1996,reg
Victor Mella,NE ,M,8,6,583,1996,reg
Michael Emenalo,SJ ,D,29,28,2534,1996,reg
Petter Villegas,MET,M,3,2,165,1996,reg
Obi Monome,CLB,M,1,0,26,1996,reg
Andrew Shue,LA ,F,5,0,96,1996,reg
Todd Miller,CLB,M,3,2,157,1996,reg
Iain Fraser,NE ,D,23,23,2070,1996,reg
Denis Hamlett,COL,D,31,31,2790,1996,reg
Brian Kamler,DC ,M,12,3,470,1996,reg
Kevin Koetters,KC ,M,15,6,743,1996,reg
David Vaudreuil,DC ,D,14,13,1147,1996,reg
Damian Silvera,MET,M,15,8,804,1996,reg
Manny Motajo,LA ,D,20,16,1486,1996,reg
Curt Onalfo,LA ,D,13,7,688,1996,reg
Nidal Baba,MET,M,3,1,190,1996,reg
Raimo De Vries,COL,F,4,4,355,1996,reg
Adam Frye,TB ,D,15,9,725,1996,reg
Rob Smith,CLB,M,9,9,765,1996,reg
Dan Calichman,LA ,D,28,28,2372,1996,reg
Scott Cannon,COL,D,21,16,1582,1996,reg
Matt McKeon,KC ,D,12,9,823,1996,reg
Edmundo Rodriguez,MET,M,11,5,473,1996,reg
Samuel Ekeme,KC ,D,23,19,1693,1996,reg
George Gelnovatch,DC ,M,2,2,135,1996,reg
Said Fazlagic,DC ,D,2,1,136,1996,reg
Ricci Greenwood,CLB,M,1,0,7,1996,reg
Rivers Guthrie,TB ,M,0,0,0,1996,reg
Ken Hesse,MET,F,1,1,90,1996,reg
Mirsad Huseinovic,MET,M,1,1,45,1996,reg
Mike Huwiler,DC ,M,5,3,247,1996,reg
Tayt Ianni,SJ ,D,6,3,287,1996,reg
Chris Brauchle,MET,M,5,3,323,1996,reg
Danny Barber,MET,M,1,1,90,1996,reg
Andrew Restrepo,MET,D,5,4,343,1996,reg
Travis Rinker,MET,M,3,0,31,1996,reg
Ed Pinon,COL,M,1,0,48,1996,reg
Sterling Wescott,DC ,M,2,1,102,1996,reg
Bojan Vuckovic,NE ,F,1,0,14,1996,reg
Rene Ortiz,DAL,D,2,1,96,1996,reg
Martin Munnelly,MET,M,1,0,23,1996,reg
Omid Namazi,MET,M,1,0,12,1996,reg
Brent Longenecker,MET,M,2,0,19,1996,reg
Francis Okaroh,NE ,D,20,20,1777,1996,reg
Thor Lee,DC ,D,2,2,134,1996,reg
Stan Lembryk,MET,M,1,0,9,1996,reg
Josh McKay,COL,M,4,1,125,1996,reg
Greg Lalas,TB ,D,3,1,94,1996,reg
Brandon Ward,CLB,M,6,3,304,1996,reg
Rafael Amaya,SJ ,D,7,0,97,1996,reg
Ben Crawley,DC ,F,5,0,82,1996,reg
Troy Edwards,COL,D,4,3,289,1996,reg
John Diffley,TB ,D,13,6,574,1996,reg
Erik Imler,DC ,M,19,15,1355,1996,reg
Louis Ken-Kwofie,MET,M,1,1,90,1996,reg
Mac Cozier,CLB,F,13,0,155,1996,reg
Tom Lips,NE ,D,8,5,473,1996,reg
Ed Puskarich,DAL,D,18,14,1238,1996,reg
Tommy Reasoner,KC ,D,13,7,646,1996,reg
Brandon Pollard,DAL,D,10,9,820,1996,reg
Richard Weiszmann,NE ,D,10,9,817,1996,reg
Patrick Tardieu,NE ,F,5,0,69,1996,reg
Jeff Zaun,MET,D,21,19,1584,1996,reg
Ryshiem Henderson,SJ ,F,3,0,78,1996,reg
Jorge Flores,DAL,M,8,3,292,1996,reg
Frank Yallop,TB ,D,29,28,2513,1996,reg
Shane Battelle,CLB,M,15,10,841,1996,reg
Oscar Draguicevich,SJ ,D,19,17,1416,1996,reg
Derek Backman,TB ,M,25,14,1368,1996,reg
Juan Suarez,DC ,F,2,2,160,1996,reg
Paul Young,CLB,F,4,1,137,1996,reg
Jimmy Glenn,DAL,F,9,0,115,1996,reg
Ian Butterworth,COL,D,17,17,1379,1996,reg
Ted Gillen,MET,D,15,9,819,1996,reg
Brian Bates,COL,M,19,7,896,1996,reg
Clint Peay,DC ,D,19,18,1665,1996,reg
Mickey Kydes,MET,M,11,7,556,1996,reg
Matt Knowles,MET,D,21,16,1589,1996,reg
Nelson Vargas,TB ,M,9,4,443,1996,reg
Dominic Kinnear,COL,M,14,11,973,1996,reg
Cristian da Silva,MET,D,20,12,1158,1996,reg
Janusz Michallik,CLB,M,31,28,2490,1996,reg
Jaime Moreno,DC ,F,20,20,1725,1997,reg
Raul Diaz Arce,DC ,F,22,20,1790,1997,reg
Giovanni Savarese,MET,F,29,23,2069,1997,reg
Preki,KC ,M,27,27,2330,1997,reg
Ronald Cerritos,SJ ,F,22,22,1847,1997,reg
Dante Washington,DAL,F,30,25,2162,1997,reg
Damian,DAL,F,19,19,1479,1997,reg
Welton,LA ,F,29,12,1321,1997,reg
Lawrence Lozzano,SJ ,M,29,23,2096,1997,reg
Mark Chung,KC ,M,32,32,2871,1997,reg
Roy Lassiter,TB ,F,24,23,1885,1997,reg
Jeff Baicher,SJ ,M,32,20,2031,1997,reg
Antony De Avila,MET,F,23,21,1916,1997,reg
Vitalis Takawira,KC ,F,28,23,2153,1997,reg
Gilmar,TB ,M-F,16,16,1213,1997,reg
Jason Kreis,DAL,M,32,21,2200,1997,reg
Paul Bravo,COL,M,30,27,2445,1997,reg
Pete Marino,CLB,F,28,7,1229,1997,reg
Eduardo Hurtado,LA ,F,22,21,1772,1997,reg
Harut Karapetyan,LA ,F,30,23,1770,1997,reg
Chris Henderson,COL,M,30,29,2508,1997,reg
Cobi Jones,LA ,M,26,25,2228,1997,reg
Alberto Naveda,NE ,F,29,28,2394,1997,reg
Gerell Elliott,DAL,F,28,15,1500,1997,reg
Imad Baba,NE ,M,29,28,2391,1997,reg
Alan Prampin,TB ,F,24,12,1212,1997,reg
Mauricio Cienfuegos,LA ,M,22,22,1980,1997,reg
Maurice Johnston,KC ,M-F,29,29,2564,1997,reg
Brian McBride,CLB,F,13,13,1069,1997,reg
Chiquinho Conde,NE ,F,25,25,2149,1997,reg
Peter Vermes,COL,D,26,25,2206,1997,reg
Eric Wynalda,SJ ,F,14,9,923,1997,reg
Tony Sanneh,DC ,D,29,28,2274,1997,reg
Steve Ralston,TB ,M,29,29,2493,1997,reg
John Harkes,DC ,M,25,23,2066,1997,reg
Giuseppe Galderisi,NE ,F,23,22,1726,1997,reg
Frank Klopas,KC ,F,27,24,1967,1997,reg
David Patino,COL,M-F,23,22,1741,1997,reg
Wolde Harris,COL,F,27,15,1484,1997,reg
Roy Wegerle,COL,F,31,23,1931,1997,reg
Ivan McKinley,NE ,D-M,26,21,1981,1997,reg
Paul Wright,KC ,F,30,18,1646,1997,reg
A.J. Wood,CLB,F,29,21,1835,1997,reg
Steve Trittschuh,COL,D,29,29,2566,1997,reg
Adrian Paz,COL,M,25,24,2055,1997,reg
Martin Machon,LA ,M,30,27,2437,1997,reg
Ben Iroha,DC ,M,21,18,1391,1997,reg
Shawn Medved,SJ ,M,31,15,1591,1997,reg
Martin Vasquez,TB ,M,28,28,2475,1997,reg
Joe-Max Moore,NE ,F,13,12,987,1997,reg
Matt McKeon,KC ,D,31,30,2737,1997,reg
Thomas Dooley,CLB,D,15,15,1310,1997,reg
Jorge Rodriguez,DAL,M-D,24,21,1874,1997,reg
Sam George,NE ,M,23,14,1327,1997,reg
Mike Sorber,MET,M,22,22,1889,1997,reg
Carlos Valderrama,TB ,M,20,20,1740,1997,reg
Marco Etcheverry,DC ,M,20,19,1695,1997,reg
Robert Warzycha,CLB,M,31,31,2722,1997,reg
Roberto Donadoni,MET,M,32,31,2699,1997,reg
Brian Maisonneuve,CLB,M,32,30,2734,1997,reg
Chris Armas,LA ,M,28,28,2307,1997,reg
Jesse Marsch,DC ,M,11,1,233,1997,reg
Eddie Pope,DC ,D,29,29,2513,1997,reg
Troy Dayak,SJ ,D,21,21,1817,1997,reg
Nelson Vargas,TB ,M,21,9,967,1997,reg
Marcelo Carrera,CLB,F,20,14,1224,1997,reg
Shaun Bartlett,COL,F,23,15,1451,1997,reg
Jose Vasquez,LA ,D,5,2,248,1997,reg
Sean Bowers,KC ,D,26,24,2017,1997,reg
Evans Wise,NE ,M,22,8,979,1997,reg
Sean Henderson,COL,M,25,19,1650,1997,reg
Eddie Lewis,SJ ,M,29,26,2233,1997,reg
Miles Joseph,MET,M,29,15,1745,1997,reg
Richie Williams,DC ,M,30,29,2606,1997,reg
John Maessner,DC ,M-D,32,20,2008,1997,reg
Alain Sutter,DAL,M,21,21,1801,1997,reg
